电影名称				评分		评分人数
海蒂和爷爷				9.2		276384
美国往事				9.2		276384
致命魔术				8.9		276384
低俗小说				8.8		276384
七宗罪				8.8		276384
沉默的羔羊				8.8		276384
蝴蝶效应				8.8		276384
禁闭岛				8.8		276384
春光乍泄				8.9		276384
心灵捕手				8.9		276384
布达佩斯大饭店				8.8		276384
被嫌弃的松子的一生				8.9		276384
阿凡达				8.7		276384
摩登时代				9.3		276384
剪刀手爱德华				8.7		276384
勇敢的心				8.9		276384
天使爱美丽				8.7		276384
喜剧之王				8.7		276384
致命ID				8.8		276384
加勒比海盗				8.7		276384
断背山				8.8		276384
杀人回忆				8.8		276384
狩猎				9.1		276384
哈利·波特与死亡圣器(下)				8.8		276384
请以你的名字呼唤我				8.9		276384
